id,case_one,case_two,date_time_column,Age,Gender,Department,City,Education_Level,Satisfaction,Performance,Salary,Experience_Years
92,D73,95,,28,Female,Marketing,Karachi,PhD,Medium,Good,82101,1
93,B11,e,,46,Male,Finance,Islamabad,Master's,Low,Average,86973,17
94,AB9,34,,39,Male,HR,Islamabad,Bachelor's,Medium,Average,83691,11
95,BC99,21,,47,Female,Marketing,Mardan,PhD,Medium,Average,139838,18
96,C17,71,,49,Male,IT,Quetta,Bachelor's,Low,Excellent,113674,27
97,AB71,n,07/18/2019,25,Female,Finance,Peshawar,PhD,High,Excellent,73668,3
98,C34,89,05/24/2025,38,Male,Sales,Quetta,Master's,High,Good,46553,10
99,BC78,38,,50,Male,Sales,Mardan,Bachelor's,Low,Good,59026,26
100,XYZ28,x,12/22/2021,33,Male,HR,Islamabad,PhD,Low,Poor,119055,4
101,BC97,90,,36,Male,HR,Peshawar,Master's,Medium,Good,128459,14
102,D92,10,,49,Male,IT,Quetta,Master's,High,Poor,80532,20
103,MN52,34,,39,Female,IT,Islamabad,Bachelor's,High,Average,138416,15
104,XY57,81,,44,Male,Sales,Quetta,Master's,Low,Poor,135349,20
105,BC58,26,,45,Male,Finance,Lahore,Master's,Low,Good,87778,17
106,B32,70,,39,Female,HR,Quetta,Bachelor's,Low,Good,56232,11
107,D9,20,,31,Male,IT,Islamabad,Master's,Medium,Good,58965,4
108,XY3,19,,35,Male,IT,Islamabad,PhD,Low,Good,58538,7
109,BC30,e,,45,Male,Sales,Karachi,Bachelor's,High,Excellent,118339,22
110,D1,77,,36,Male,Marketing,Islamabad,Master's,Medium,Excellent,53292,12
111,B91,73,,44,Male,Marketing,Peshawar,Bachelor's,Medium,Poor,122831,15
112,A30,57,,31,Female,Sales,Mardan,Master's,Medium,Average,88874,2
113,B5,89,,31,Female,Sales,Mardan,Master's,Medium,Good,136089,5
114,XY10,52,,27,Male,Marketing,Quetta,Bachelor's,Medium,Good,134353,3
115,BC31,65,,25,Female,HR,Quetta,Master's,Medium,Poor,76722,0
116,MN86,57,,38,Male,Finance,Quetta,PhD,High,Poor,116256,10
117,AB28,n,,40,Female,Finance,Lahore,Bachelor's,Low,Poor,118822,18
118,BC17,95,,33,Male,Finance,Peshawar,Master's,Low,Good,134070,4
119,AB32,33,,44,Female,Finance,Lahore,Bachelor's,High,Excellent,90656,20
120,AB53,e,,43,Male,Finance,Peshawar,PhD,Low,Poor,86800,14
121,D13,74,,26,Male,Sales,Mardan,Master's,High,Excellent,112632,1
122,B85,3,,26,Male,Sales,Mardan,Master's,High,Excellent,96849,0
123,XYZ46,87,,45,Male,Sales,Mardan,Master's,Medium,Average,120674,22
124,XYZ53,74,,36,Female,Sales,Lahore,PhD,Low,Good,123246,9
125,AB94,e,,43,Male,HR,Islamabad,Bachelor's,Low,Good,125541,17
126,A87,84,,37,Male,Sales,Lahore,Master's,Low,Excellent,99819,9
127,B8,36,,36,Male,Finance,Lahore,PhD,Low,Good,63388,10
128,XYZ94,75,,33,Female,Marketing,Quetta,Master's,Medium,Average,98626,4
129,XY14,63,,28,Female,HR,Karachi,Master's,Low,Excellent,49285,2
130,D25,61,,29,Male,Marketing,Karachi,Bachelor's,Medium,Poor,116046,2
131,D69,43,,22,Female,IT,Lahore,Bachelor's,Low,Average,79447,0
132,AB18,14,,25,Male,Sales,Islamabad,PhD,Medium,Average,72124,0
133,XYZ24,43,,48,Female,IT,Islamabad,PhD,Low,Average,62771,25
134,MN60,64,,45,Male,Sales,Quetta,Master's,High,Excellent,109154,17
135,D10,52,,49,Female,Finance,Lahore,Master's,Medium,Poor,97802,26
136,AB71,71,,46,Female,HR,Lahore,Master's,Medium,Good,73551,18
137,B7,n,,36,Male,IT,Peshawar,PhD,Medium,Poor,134463,9
138,BC2,42,,34,Male,Finance,Mardan,Master's,Low,Good,135255,9
139,B97,99,,41,Female,Finance,Quetta,PhD,Low,Excellent,51787,17
140,D22,66,05/08/2025,36,Male,Sales,Quetta,Master's,Low,Poor,62393,13
141,XYZ63,1,,34,Male,HR,Lahore,Bachelor's,High,Poor,107613,10
142,AB28,70,,25,Male,IT,Karachi,PhD,Low,Average,62451,0
143,XYZ8,7,,25,Female,HR,Peshawar,Bachelor's,Low,Poor,125750,0
144,C49,47,,31,Female,IT,Mardan,PhD,High,Good,77477,7
145,A50,64,,40,Female,IT,Mardan,Master's,Medium,Poor,96347,15
146,MN59,98,,21,Male,Marketing,Karachi,Master's,Medium,Average,86480,0
147,MN55,x,,21,Male,IT,Lahore,PhD,Medium,Excellent,73277,0
148,BC85,37,,38,Male,Finance,Peshawar,PhD,Low,Average,81368,14
149,AB20,90,,45,Female,HR,Peshawar,Bachelor's,Low,Excellent,85654,22
150,D38,4,,44,Male,HR,Quetta,Bachelor's,Low,Excellent,60655,20
151,D8,78,,25,Male,Finance,Lahore,Master's,High,Poor,60473,0
152,BC8,91,,37,Female,Sales,Mardan,Master's,Low,Good,52266,10
153,XY8,71,,37,Male,HR,Peshawar,Master's,Medium,Excellent,50772,15
154,A75,NA,,50,Female,HR,Lahore,PhD,Medium,Good,74427,22
155,AB65,n,11/16/2018,42,Male,Sales,Peshawar,Master's,Low,Excellent,68507,20
156,BC21,16,03/02/2021,35,Male,Finance,Karachi,Master's,High,Average,93354,13
157,A66,20,,45,Male,HR,Peshawar,Master's,Low,Average,116638,20
158,B24,92,,21,Male,HR,Karachi,Bachelor's,Medium,Excellent,85306,0
159,B77,91,09/03/2018,50,Female,Finance,Lahore,PhD,Low,Poor,113125,25
160,B87,62,09/02/2023,39,Male,HR,Islamabad,Master's,Medium,Excellent,102014,17
161,D52,32,,28,Male,Sales,Peshawar,Bachelor's,Low,Average,71569,5
162,B73,19,,38,Female,Finance,Lahore,Master's,Low,Poor,72215,11
163,D75,77,,43,Female,HR,Peshawar,PhD,Low,Good,73183,21
164,A80,18,,29,Female,Marketing,Karachi,PhD,High,Average,49073,5
165,B54,36,,25,Male,HR,Mardan,Bachelor's,Medium,Good,46567,2
166,BC41,54,,29,Male,HR,Quetta,Master's,Low,Poor,47857,6
167,MN27,65,,22,Female,Marketing,Lahore,Bachelor's,Medium,Excellent,120220,0
168,XY31,1,,29,Male,IT,Karachi,PhD,High,Average,103459,3
169,MN51,39,,38,Male,Finance,Lahore,Bachelor's,Medium,Average,52992,9
170,C86,75,,46,Female,Marketing,Karachi,Master's,Medium,Good,95134,24
171,MN59,63,05/10/2022,40,Female,IT,Lahore,PhD,Medium,Average,48840,15
172,XY97,58,,29,Female,Finance,Mardan,Bachelor's,Low,Good,73758,7
173,B2,45,,32,Male,Marketing,Karachi,Master's,Low,Excellent,118807,8
174,AB80,98,,28,Female,IT,Islamabad,PhD,Low,Average,114002,6
175,B10,59,10/27/2021,25,Female,IT,Islamabad,PhD,High,Excellent,59538,1
176,BC28,25,,25,Female,Finance,Mardan,PhD,High,Good,102261,1
177,BC34,31,,44,Male,IT,Quetta,PhD,Medium,Poor,61691,18
178,C45,30,,40,Male,Marketing,Mardan,Master's,High,Poor,128839,15
179,B32,53,,49,Female,Marketing,Peshawar,Master's,Low,Average,137925,26
180,XY37,NA,,24,Female,Marketing,Quetta,Master's,Low,Excellent,51310,2
181,C57,49,,24,Male,HR,Lahore,Bachelor's,Low,Good,120766,0
182,BC91,85,,23,Female,HR,Quetta,Bachelor's,High,Poor,67296,0
183,MN79,84,,34,Female,HR,Peshawar,Bachelor's,Medium,Average,124602,10
184,BC2,64,,30,Male,Marketing,Karachi,PhD,Medium,Average,57571,5
185,BC39,17,,30,Male,IT,Mardan,Bachelor's,High,Good,71171,1
186,B18,76,,33,Female,IT,Quetta,PhD,Medium,Average,109106,4
187,MN15,13,,22,Female,Finance,Mardan,Master's,High,Poor,102637,0
188,B96,57,09/12/2019,32,Male,Sales,Peshawar,Master's,High,Excellent,122296,4
189,BC20,NA,,28,Male,Marketing,Quetta,Bachelor's,High,Average,84171,0
190,MN37,e,,26,Male,IT,Lahore,Bachelor's,High,Excellent,70260,1
191,D92,84,,29,Male,Marketing,Karachi,Master's,High,Good,53783,2
192,XY27,10,,21,Female,HR,Mardan,PhD,High,Poor,59748,0
193,MN65,34,,48,Female,Marketing,Quetta,Master's,High,Excellent,98856,21
194,AB33,89,,40,Female,Finance,Quetta,Bachelor's,Low,Excellent,50083,12
195,A12,11,,46,Female,Marketing,Quetta,PhD,Low,Average,85756,20
196,XYZ36,87,,31,Male,HR,Lahore,Bachelor's,Medium,Excellent,99627,5
197,A1,49,,26,Female,HR,Karachi,PhD,Low,Average,85779,3
198,XY99,81,,35,Male,Finance,Islamabad,Master's,High,Excellent,92235,13
199,C82,98,,36,Female,Sales,Karachi,Master's,Medium,Average,68276,7
200,MN21,70,11/25/2020,22,Male,HR,Quetta,Bachelor's,High,Average,120007,0
201,AB71,n,,48,Male,HR,Karachi,Bachelor's,Low,Good,107140,26
202,XYZ72,88,,33,Female,HR,Lahore,Master's,High,Excellent,105161,6
203,A15,30,,42,Female,Finance,Quetta,Bachelor's,Medium,Poor,118591,15
204,B89,56,,29,Male,Sales,Mardan,Bachelor's,High,Excellent,69688,3
205,C70,98,,41,Female,Marketing,Lahore,Master's,High,Poor,83745,12
206,A48,13,,43,Female,Finance,Karachi,Master's,Low,Average,134957,18
207,BC19,89,,29,Female,IT,Mardan,Master's,Low,Good,134091,5
208,XYZ17,4,,30,Female,IT,Quetta,PhD,High,Poor,60437,1
209,A40,n,,33,Male,HR,Mardan,Bachelor's,Medium,Excellent,99146,7
210,XY6,48,,43,Female,Finance,Quetta,Bachelor's,Medium,Poor,55592,19
211,XY27,32,,45,Male,Marketing,Peshawar,Bachelor's,High,Excellent,120534,21
212,D86,73,,36,Male,Sales,Mardan,PhD,Medium,Poor,45611,8
213,B46,24,08/12/2021,21,Female,Finance,Mardan,Bachelor's,Medium,Good,74657,0
214,BC53,11,,30,Female,Marketing,Quetta,Bachelor's,Medium,Excellent,113195,1
215,C31,49,,50,Male,HR,Quetta,Bachelor's,Low,Poor,47506,22
216,C23,31,,43,Female,Sales,Karachi,Bachelor's,High,Poor,94177,21
217,XYZ4,75,06/04/2025,24,Female,IT,Karachi,Master's,Medium,Average,103237,0
218,C95,60,,42,Female,Sales,Karachi,PhD,Low,Excellent,131832,19
219,XY53,59,,46,Male,Sales,Mardan,Master's,High,Average,110239,23
220,D35,2,,38,Female,Finance,Mardan,Bachelor's,Low,Poor,72222,9
221,C90,60,,23,Male,Finance,Quetta,Bachelor's,Medium,Good,139838,0
222,B49,87,12/17/2020,26,Female,Finance,Lahore,PhD,Low,Poor,83085,4
223,A61,10,,26,Female,Sales,Islamabad,PhD,Low,Good,91861,0
224,D26,45,,35,Female,Marketing,Quetta,Bachelor's,Low,Average,95556,9
225,AB45,39,10/22/2025,50,Female,HR,Karachi,Master's,Medium,Poor,119572,21
226,MN30,55,,24,Male,IT,Islamabad,PhD,Medium,Poor,102761,0
227,D4,59,,42,Male,Marketing,Quetta,PhD,Low,Excellent,113039,15
228,D52,26,,47,Male,Sales,Lahore,Master's,Low,Poor,46526,25
229,XY36,62,,29,Male,Sales,Quetta,Master's,Medium,Average,111444,7
230,B99,49,,35,Female,Finance,Peshawar,Master's,High,Poor,110333,12
231,MN45,74,02/25/2019,38,Female,Sales,Karachi,Bachelor's,High,Excellent,56913,16
232,BC52,90,,48,Female,Finance,Quetta,Master's,Low,Poor,88512,19
233,BC43,85,,47,Female,IT,Peshawar,Bachelor's,Medium,Average,116786,21
234,A15,2,,27,Female,HR,Lahore,Bachelor's,High,Good,60826,2
235,MN23,88,,47,Female,Sales,Karachi,Bachelor's,Medium,Poor,104048,24
236,MN5,7,,36,Male,HR,Peshawar,Master's,High,Good,135677,12
237,B77,96,,50,Female,Finance,Islamabad,Master's,Low,Average,80860,25
238,XYZ45,37,,38,Male,HR,Mardan,PhD,High,Good,138306,11
239,XY56,30,,41,Female,IT,Islamabad,PhD,Medium,Excellent,111046,17
240,BC15,46,,34,Male,IT,Lahore,Bachelor's,Low,Poor,113515,12
241,XYZ74,25,,42,Male,Finance,Mardan,PhD,Low,Good,64192,16
242,D33,87,,38,Female,IT,Lahore,Master's,Medium,Good,76142,10
243,A91,99,,27,Female,Sales,Karachi,PhD,High,Average,74563,0
244,XYZ1,18,,42,Male,Sales,Peshawar,Master's,Low,Excellent,69507,19
245,BC69,81,,39,Female,Marketing,Quetta,Bachelor's,Low,Average,45739,13
246,D47,40,,41,Female,IT,Quetta,Master's,High,Average,109297,15
247,XYZ9,5,,26,Female,IT,Islamabad,Bachelor's,Low,Good,116182,0
248,XY80,94,,45,Male,IT,Quetta,Master's,Medium,Average,118575,16
249,XY85,38,,42,Male,Marketing,Islamabad,PhD,High,Good,94987,15
250,B93,54,,37,Male,Finance,Quetta,Bachelor's,Medium,Poor,108806,8
251,MN65,17,,27,Female,IT,Mardan,PhD,High,Excellent,134837,2
252,MN86,47,04/02/2025,43,Male,IT,Peshawar,Bachelor's,Medium,Poor,49965,16
253,XYZ42,35,,35,Female,IT,Lahore,PhD,Low,Poor,101757,7
254,XYZ90,33,,39,Male,Finance,Karachi,Bachelor's,Medium,Good,136866,17
255,MN71,62,,35,Male,Marketing,Mardan,PhD,Low,Average,96788,7
256,C25,38,,25,Female,IT,Karachi,PhD,Low,Poor,133773,0
257,XYZ86,44,,23,Female,HR,Lahore,PhD,High,Average,72532,0
258,XYZ87,60,,29,Male,Sales,Peshawar,PhD,Medium,Poor,60023,4
259,C79,19,,27,Female,HR,Quetta,PhD,Low,Poor,88365,0
260,MN52,29,,31,Female,Sales,Quetta,Master's,High,Average,104067,2
261,BC1,93,,34,Female,HR,Mardan,PhD,High,Excellent,45633,10
262,MN37,51,,31,Female,Finance,Islamabad,Master's,High,Poor,105666,2
263,D56,72,,48,Male,Finance,Quetta,PhD,Low,Poor,115597,24
264,XY60,51,,39,Male,IT,Karachi,Master's,High,Excellent,122337,11
265,AB57,n,,49,Female,Sales,Karachi,Bachelor's,Medium,Good,62548,23
266,D66,87,,46,Male,Marketing,Mardan,Bachelor's,High,Average,112388,22
267,AB95,34,03/18/2026,45,Male,Finance,Islamabad,Bachelor's,Low,Average,75375,16
268,C85,82,,35,Female,IT,Quetta,PhD,High,Good,50230,13
269,B37,14,,33,Male,Sales,Islamabad,Master's,Low,Excellent,122028,6
270,BC85,61,,49,Male,Marketing,Mardan,Bachelor's,Low,Good,110776,27
271,XY12,x,,40,Male,Marketing,Islamabad,PhD,Low,Excellent,131652,17
272,D87,29,,26,Male,IT,Mardan,PhD,High,Average,47942,0
273,MN29,82,,25,Female,HR,Karachi,Master's,High,Poor,66802,3
274,D19,90,,27,Female,Marketing,Mardan,Bachelor's,Medium,Average,124498,0
275,A6,53,,42,Male,HR,Lahore,Master's,Low,Poor,104437,15
276,D61,6,,40,Female,Sales,Karachi,Bachelor's,High,Poor,68255,17
277,B59,39,,38,Female,Sales,Lahore,Master's,Low,Excellent,133940,16
278,XYZ81,15,,46,Male,Finance,Lahore,Bachelor's,Low,Good,100769,23
279,D92,e,,21,Male,Sales,Peshawar,Master's,High,Average,120757,0
280,XYZ64,48,,25,Female,Finance,Karachi,Master's,High,Good,130403,0
281,XYZ32,96,,34,Female,Sales,Karachi,Master's,Medium,Good,68425,5
282,C84,70,,48,Female,HR,Peshawar,Bachelor's,High,Excellent,75116,25
283,A97,96,,41,Male,Marketing,Karachi,Master's,Low,Poor,56939,19
284,B55,54,12/13/2020,22,Female,Sales,Peshawar,Bachelor's,High,Excellent,97513,0
285,D23,63,,50,Male,Sales,Karachi,PhD,High,Average,70525,24
286,BC60,36,,41,Male,Finance,Lahore,Master's,High,Excellent,65636,19
287,A72,x,,44,Female,Sales,Karachi,Master's,Medium,Good,56818,21
288,D16,57,,33,Male,Marketing,Karachi,Bachelor's,High,Poor,79223,11
289,AB18,47,,46,Female,Marketing,Lahore,PhD,Medium,Average,115504,20
290,AB86,x,,48,Male,Finance,Peshawar,Master's,High,Average,108172,26
291,BC72,83,,32,Female,HR,Islamabad,Bachelor's,Medium,Good,136857,10
292,XY97,51,,32,Female,HR,Quetta,PhD,Low,Excellent,120197,7
293,AB79,16,,27,Male,Sales,Islamabad,Bachelor's,Low,Poor,71577,2
294,BC55,59,,45,Female,Sales,Islamabad,Master's,High,Good,108214,23
295,BC58,e,,45,Female,Marketing,Karachi,Bachelor's,High,Good,52097,21
296,C96,77,,24,Male,IT,Quetta,Bachelor's,Medium,Poor,86373,0
297,AB58,7,,29,Female,Sales,Islamabad,Master's,Low,Excellent,80311,4
298,MN97,32,,32,Female,Marketing,Mardan,PhD,Low,Average,97506,5
299,D82,73,,48,Male,HR,Lahore,Bachelor's,Low,Excellent,70698,20
300,MN99,98,,30,Male,Marketing,Peshawar,PhD,Low,Poor,118680,4
301,BC63,76,,24,Female,Finance,Islamabad,PhD,High,Good,88864,0
302,D36,30,,48,Male,Finance,Islamabad,Master's,High,Excellent,120609,23
303,AB10,19,,35,Female,Marketing,Quetta,PhD,High,Excellent,66964,11
304,MN31,77,,31,Female,Finance,Karachi,PhD,Medium,Good,130591,4
305,MN43,e,,26,Male,Finance,Quetta,PhD,High,Poor,61389,4
306,XY70,70,05/12/2020,23,Male,IT,Lahore,PhD,Low,Poor,116884,0
307,B18,23,12/11/2020,50,Male,HR,Quetta,Master's,Medium,Average,85549,22
308,C30,4,06/22/2019,42,Female,Marketing,Karachi,Master's,High,Excellent,87624,15
309,XYZ89,46,,35,Female,Finance,Lahore,PhD,Low,Poor,113610,7
310,C91,31,,25,Male,Sales,Mardan,Master's,Medium,Excellent,46383,0
311,D9,3,,36,Female,Finance,Karachi,Bachelor's,Low,Good,46197,10
312,XYZ53,7,,26,Male,Finance,Peshawar,Master's,High,Average,94592,0
313,XY70,54,,44,Male,IT,Mardan,Bachelor's,Medium,Poor,99120,18
314,AB54,96,,40,Female,IT,Mardan,Bachelor's,High,Poor,69613,11
315,A27,NA,,43,Male,IT,Mardan,Bachelor's,Medium,Average,46075,14
316,XYZ50,66,,36,Male,Finance,Peshawar,Bachelor's,Low,Good,105776,9
317,A98,58,,49,Male,IT,Quetta,Bachelor's,Medium,Excellent,95014,23
318,XYZ62,79,,45,Male,Marketing,Lahore,PhD,Medium,Good,113306,22
319,A46,x,,38,Female,Finance,Mardan,Master's,Low,Average,78202,15
320,MN97,4,,26,Male,Marketing,Mardan,Bachelor's,Low,Excellent,121637,0
321,XYZ54,NA,,23,Female,IT,Quetta,PhD,Medium,Poor,65669,0
322,BC96,55,,46,Female,HR,Islamabad,PhD,High,Good,61492,23
323,BC78,63,,32,Male,Marketing,Quetta,Master's,High,Good,77859,8
324,D63,57,,38,Female,Finance,Karachi,PhD,Low,Poor,87425,11
325,D35,n,,29,Male,Sales,Lahore,PhD,Low,Poor,104517,2
326,XYZ63,19,,23,Female,Sales,Mardan,PhD,Medium,Good,69886,0
327,A50,x,08/06/2022,37,Male,HR,Peshawar,Bachelor's,Low,Excellent,50737,14
328,XY86,75,,47,Female,Sales,Karachi,PhD,High,Good,131235,19
329,XYZ93,42,,23,Female,IT,Lahore,PhD,Low,Good,72359,1
330,C60,77,,22,Male,IT,Islamabad,Bachelor's,Low,Poor,114339,0
331,C80,59,,37,Male,Sales,Quetta,PhD,Medium,Poor,119714,12
332,BC4,56,,43,Male,HR,Karachi,Master's,High,Good,58644,15
333,XYZ76,n,,49,Female,Finance,Lahore,PhD,Medium,Good,117100,22
334,A11,84,,38,Female,Marketing,Lahore,Bachelor's,High,Poor,92187,12
335,XYZ18,71,,49,Female,HR,Mardan,Master's,Low,Good,45860,23
336,AB24,28,03/17/2024,35,Male,Finance,Islamabad,PhD,Low,Average,65461,8
337,A34,30,,39,Female,Marketing,Mardan,Master's,High,Poor,55118,14
338,XYZ42,59,09/04/2024,46,Male,Finance,Islamabad,Master's,Medium,Poor,55286,18
339,D59,94,,41,Female,Sales,Peshawar,Master's,High,Average,52094,13
340,XY44,NA,,42,Male,HR,Lahore,Master's,Medium,Average,103407,14
341,XYZ36,33,,44,Female,Finance,Peshawar,Master's,High,Excellent,116847,22
342,XYZ33,20,,27,Male,Sales,Karachi,PhD,High,Average,96815,0
343,B61,61,,31,Female,Marketing,Islamabad,Master's,Low,Good,59749,8
344,A96,n,,26,Female,Sales,Mardan,Master's,Low,Average,125769,0
345,BC7,n,,44,Male,HR,Karachi,Bachelor's,Medium,Poor,59728,21
